Date,SCCOOpen,SCCOHigh,SCCOLow,SCCOClose,SCCOAdj Close,SCCOVolume,PLMOpen,PLMHigh,PLMLow,PLMClose,PLMAdj Close,PLMVolume,COPXOpen,COPXHigh,COPXLow,COPXClose,COPXAdj Close,COPXVolume,^IXICOpen,^IXICHigh,^IXICLow,^IXICClose,^IXICAdj Close,^IXICVolume
2022-03-25,77.0,77.809998,76.309998,77.660004,74.002579,887600,3.37,3.5,3.29,3.4,3.4,217900,46.169998,46.59,46.009998,46.470001,45.446835,866600,14194.719727,14218.759766,14010.790039,14169.299805,14169.299805,5585100000
2022-03-28,77.0,77.0,75.029999,76.260002,72.668503,617200,3.42,3.51,3.28,3.51,3.51,318600,45.93,46.049999,45.25,46.02,45.006741,545300,14177.209961,14356.0,14101.339844,14354.900391,14354.900391,5129500000
2022-03-29,75.639999,76.720001,74.919998,76.43,72.830498,788300,3.5,3.71,3.39,3.49,3.49,454100,45.700001,45.700001,44.900002,45.52,44.51775,508000,14500.389648,14646.900391,14419.400391,14619.639648,14619.639648,6060890000
2022-03-30,77.0,77.800003,76.330002,76.839996,73.221176,708600,3.47,4.03,3.44,3.74,3.74,1936200,45.529999,46.25,45.529999,45.919998,44.908943,364600,14558.589844,14609.25,14383.450195,14442.269531,14442.269531,5479200000
2022-03-31,76.949997,77.779999,75.879997,75.900002,72.325462,880500,3.85,4.45,3.75,4.19,4.19,2544900,45.869999,46.0,45.5,45.509998,44.507969,181500,14444.780273,14456.740234,14217.719727,14220.519531,14220.519531,5453890000
2022-04-01,76.43,78.18,76.269997,78.169998,74.488556,976400,4.19,4.23,3.77,3.95,3.95,914900,45.860001,46.75,45.849998,46.700001,45.671772,780300,14269.530273,14306.94043,14131.80957,14261.5,14261.5,5002790000
2022-04-04,78.760002,79.32,77.370003,78.0,74.326561,861400,3.94,3.96,3.66,3.89,3.89,364100,47.119999,47.169998,46.529999,46.849998,45.818466,402900,14304.349609,14534.379883,14286.450195,14532.549805,14532.549805,4630100000
2022-04-05,77.629997,78.0,74.050003,74.220001,70.724579,1699400,3.81,4.02,3.69,3.95,3.95,375100,46.91,47.23,45.32,45.509998,44.507969,454300,14490.259766,14500.290039,14169.120117,14204.169922,14204.169922,4727710000
2022-04-06,73.849998,74.400002,71.959999,72.889999,69.457214,996100,3.95,3.95,3.68,3.89,3.89,230100,45.110001,45.299999,44.220001,44.619999,43.637566,366700,14002.580078,14032.839844,13788.900391,13888.820313,13888.820313,5360420000
2022-04-07,72.889999,74.019997,72.389999,73.43,69.971786,606300,3.9,3.92,3.74,3.89,3.89,205200,44.580002,45.209999,44.27,45.060001,44.067879,259500,13861.490234,13978.25,13689.230469,13897.299805,13897.299805,4856090000
2022-04-08,73.989998,74.830002,73.57,73.830002,70.352951,618900,3.92,3.92,3.68,3.69,3.69,372500,45.639999,45.639999,45.09,45.439999,44.43951,554700,13830.469727,13866.05957,13693.69043,13711.0,13711.0,4574080000
2022-04-11,73.709999,73.910004,72.489998,73.540001,70.076607,652300,3.67,3.76,3.42,3.44,3.44,319700,45.110001,45.23,44.16,44.509998,43.529987,577400,13547.290039,13585.080078,13401.389648,13411.959961,13411.959961,4946680000
2022-04-12,74.970001,75.480003,73.25,73.389999,69.933662,667500,3.49,3.67,3.46,3.52,3.52,125300,45.130001,45.439999,44.560001,44.669998,43.686462,267600,13584.69043,13685.950195,13317.740234,13371.570313,13371.570313,4991720000
